symbol,date,price
simonmcmanus,20170319,2
simonmcmanus,20170320,2
simonmcmanus,20170321,0
simonmcmanus,20170322,1
simonmcmanus,20170323,1
simonmcmanus,20170324,0
simonmcmanus,20170325,0
simonmcmanus,20170326,0
simonmcmanus,20170327,1
simonmcmanus,20170328,1
simonmcmanus,20170329,9
simonmcmanus,20170330,254
simonmcmanus,20170331,5
simonmcmanus,20170401,4
simonmcmanus,20170402,1
simonmcmanus,20170403,1
simonmcmanus,20170404,1
simonmcmanus,20170405,5
simonmcmanus,20170406,5
simonmcmanus,20170407,2
simonmcmanus,20170408,2
simonmcmanus,20170409,61
simonmcmanus,20170410,22
dotjs.co.uk,20170101,2
dotjs.co.uk,20170102,4
dotjs.co.uk,20170103,4
dotjs.co.uk,20170104,8
dotjs.co.uk,20170105,3
dotjs.co.uk,20170106,6
dotjs.co.uk,20170107,3
dotjs.co.uk,20170108,6
dotjs.co.uk,20170109,5
dotjs.co.uk,20170110,4
dotjs.co.uk,20170111,2
dotjs.co.uk,20170112,7
dotjs.co.uk,20170113,5
dotjs.co.uk,20170114,4
dotjs.co.uk,20170115,4
dotjs.co.uk,20170116,37
dotjs.co.uk,20170117,6
dotjs.co.uk,20170118,7
dotjs.co.uk,20170119,8
dotjs.co.uk,20170120,5
dotjs.co.uk,20170121,2
dotjs.co.uk,20170122,2
dotjs.co.uk,20170123,8
dotjs.co.uk,20170124,6
dotjs.co.uk,20170125,6
dotjs.co.uk,20170126,4
dotjs.co.uk,20170127,5
dotjs.co.uk,20170128,3
dotjs.co.uk,20170129,4
dotjs.co.uk,20170130,4
dotjs.co.uk,20170131,5
dotjs.co.uk,20170201,11
dotjs.co.uk,20170202,9
dotjs.co.uk,20170203,3
dotjs.co.uk,20170204,6
dotjs.co.uk,20170205,6
dotjs.co.uk,20170206,4
dotjs.co.uk,20170207,5
dotjs.co.uk,20170208,8
dotjs.co.uk,20170209,4
dotjs.co.uk,20170210,6
dotjs.co.uk,20170211,2
dotjs.co.uk,20170212,3
dotjs.co.uk,20170213,5
dotjs.co.uk,20170214,5
dotjs.co.uk,20170215,2
dotjs.co.uk,20170216,4
dotjs.co.uk,20170217,2
dotjs.co.uk,20170218,5
dotjs.co.uk,20170219,5
dotjs.co.uk,20170220,7
dotjs.co.uk,20170221,5
dotjs.co.uk,20170222,5
dotjs.co.uk,20170223,2
dotjs.co.uk,20170224,7
dotjs.co.uk,20170225,3
dotjs.co.uk,20170226,1
dotjs.co.uk,20170227,1
dotjs.co.uk,20170228,1
dotjs.co.uk,20170301,3
dotjs.co.uk,20170302,1
dotjs.co.uk,20170303,2
dotjs.co.uk,20170304,1
dotjs.co.uk,20170305,1
dotjs.co.uk,20170306,1
dotjs.co.uk,20170307,2
dotjs.co.uk,20170308,2
dotjs.co.uk,20170309,1
dotjs.co.uk,20170310,2
dotjs.co.uk,20170311,1
dotjs.co.uk,20170312,1
dotjs.co.uk,20170313,1
dotjs.co.uk,20170314,1
dotjs.co.uk,20170315,2
dotjs.co.uk,20170316,1
dotjs.co.uk,20170317,1
dotjs.co.uk,20170318,1
dotjs.co.uk,20170319,1
dotjs.co.uk,20170320,2
dotjs.co.uk,20170321,3
dotjs.co.uk,20170322,2
dotjs.co.uk,20170323,1
dotjs.co.uk,20170324,1
dotjs.co.uk,20170325,1
dotjs.co.uk,20170326,1
dotjs.co.uk,20170327,1
dotjs.co.uk,20170328,3
dotjs.co.uk,20170329,1
dotjs.co.uk,20170330,1
dotjs.co.uk,20170331,1
dotjs.co.uk,20170401,1
dotjs.co.uk,20170402,2
dotjs.co.uk,20170403,5
dotjs.co.uk,20170404,1
dotjs.co.uk,20170405,4
dotjs.co.uk,20170406,3
dotjs.co.uk,20170407,1
dotjs.co.uk,20170408,1
dotjs.co.uk,20170409,2
dotjs.co.uk,20170410,5
EnhanceConf,20170101,1
EnhanceConf,20170102,23
EnhanceConf,20170103,5
EnhanceConf,20170104,5
EnhanceConf,20170105,4
EnhanceConf,20170106,4
EnhanceConf,20170107,8
EnhanceConf,20170108,5
EnhanceConf,20170109,3
EnhanceConf,20170110,11
EnhanceConf,20170111,4
EnhanceConf,20170112,14
EnhanceConf,20170113,11
EnhanceConf,20170114,8
EnhanceConf,20170115,12
EnhanceConf,20170116,10
EnhanceConf,20170117,6
EnhanceConf,20170118,6
